127.0.0.1 - - [27/Apr/2017:11:25:52 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:15:29 +0800] "GET /graduation_project1/javascripts/teacherMyVolunteerActivity.js HTTP/1.1" 200 4133
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:15:29 +0800] "GET /graduation_project1/teacherMyVolunteerActivityServlet?_=1493273729057 HTTP/1.1" 200 3660
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:15:29 +0800] "GET /graduation_project1/teacherMyVolunteerActivityServlet?pageIndex=0&pageSize=10&_=1493273729157 HTTP/1.1" 200 2086
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:15:29 +0800] "GET /graduation_project1/teacherMyVolunteerActivityServlet?_=1493273729159 HTTP/1.1" 200 3660
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:15:29 +0800] "GET /graduation_project1/teacherMyVolunteerActivityServlet?pageIndex=0&pageSize=10&_=1493273729277 HTTP/1.1" 200 2086
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:16:59 +0800] "GET /graduation_project1/teacherCompetitionManage.jsp HTTP/1.1" 200 9009
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:16:59 +0800] "GET /graduation_project1/lib/bootstrap/css/bootstrap-responsive.css HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:16:59 +0800] "GET /graduation_project1/javascripts/teacherMyCompetition.js HTTP/1.1" 200 4445
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:16:59 +0800] "GET /graduation_project1/TeacherMyCompetitionServlet?_=1493273819553 HTTP/1.1" 200 780
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:16:59 +0800] "GET /graduation_project1/TeacherMyCompetitionServlet?_=1493273819644 HTTP/1.1" 200 780
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:16:59 +0800] "GET /graduation_project1/TeacherMyCompetitionServlet?pageIndex=0&pageSize=10&_=1493273819642 HTTP/1.1" 200 780
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:16:59 +0800] "GET /graduation_project1/TeacherMyCompetitionServlet?pageIndex=0&pageSize=10&_=1493273819719 HTTP/1.1" 200 780
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:17:22 +0800] "GET /graduation_project1/teacherChairManage.jsp HTTP/1.1" 200 9200
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:17:22 +0800] "GET /graduation_project1/lib/bootstrap/css/bootstrap-responsive.css HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:17:23 +0800] "GET /graduation_project1/javascripts/teacherMyChair.js HTTP/1.1" 200 4351
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:17:23 +0800] "GET /graduation_project1/teacherMyChair?_=1493273843035 HTTP/1.1" 200 758
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:17:23 +0800] "GET /graduation_project1/teacherMyChair?pageIndex=0&pageSize=10&_=1493273843112 HTTP/1.1" 200 758
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:17:57 +0800] "GET /graduation_project1/teacherTeacherProjectManage.jsp HTTP/1.1" 200 8926
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:17:57 +0800] "GET /graduation_project1/lib/bootstrap/css/bootstrap-responsive.css HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:17:57 +0800] "GET /graduation_project1/javascripts/teacherMyTeacherProject.js HTTP/1.1" 200 3882
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:17:57 +0800] "GET /graduation_project1/teacherMyTeacherProjectServlet?_=1493273877824 HTTP/1.1" 200 442
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:17:58 +0800] "GET /graduation_project1/teacherMyTeacherProjectServlet?pageIndex=0&pageSize=10&_=1493273877911 HTTP/1.1" 200 442
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:17:58 +0800] "GET /graduation_project1/teacherMyTeacherProjectServlet?_=1493273877913 HTTP/1.1" 200 442
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:17:58 +0800] "GET /graduation_project1/teacherMyTeacherProjectServlet?pageIndex=0&pageSize=10&_=1493273878015 HTTP/1.1" 200 442
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:18:43 +0800] "GET /graduation_project1/pwd.jsp HTTP/1.1" 200 3972
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:18:43 +0800] "GET /graduation_project1/lib/bootstrap/css/bootstrap-responsive.css HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:18:53 +0800] "GET /graduation_project1/lib/bootstrap/css/bootstrap-responsive.css HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:18:53 +0800] "GET /graduation_project1/javascripts/bootstrap.js HTTP/1.1" 404 1082
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:19:01 +0800] "GET /graduation_project1/Home?username=xiaoqi&password=12345 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:19:01 +0800] "GET /graduation_project1/manageIndex.jsp HTTP/1.1" 200 4320
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:19:01 +0800] "GET /graduation_project1/lib/bootstrap/css/bootstrap-responsive.css HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:19:02 +0800] "GET /graduation_project1/manUserManage2.jsp HTTP/1.1" 200 7355
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:19:02 +0800] "GET /graduation_project1/lib/bootstrap/css/bootstrap-responsive.css HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:19:02 +0800] "GET /graduation_project1/javascripts/manUserManage.js HTTP/1.1" 200 4441
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:19:02 +0800] "GET /graduation_project1/ManUserManageServlet?_=1493273942371 HTTP/1.1" 200 433
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:19:02 +0800] "GET /graduation_project1/ManUserManageServlet?pageIndex=0&pageSize=10&_=1493273942416 HTTP/1.1" 200 433
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:19:19 +0800] "GET /graduation_project1/manUserManage.jsp HTTP/1.1" 200 6365
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:19:19 +0800] "GET /graduation_project1/lib/bootstrap/css/bootstrap-responsive.css HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:19:19 +0800] "GET /graduation_project1/ManUserManageServlet?_=1493273959389 HTTP/1.1" 200 433
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:19:19 +0800] "GET /graduation_project1/ManUserManageServlet?pageIndex=0&pageSize=10&_=1493273959436 HTTP/1.1" 200 433
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:23:01 +0800] "GET /graduation_project1/manCompetitionManage.jsp HTTP/1.1" 200 5927
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:23:01 +0800] "GET /graduation_project1/lib/bootstrap/css/bootstrap-responsive.css HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:23:01 +0800] "GET /graduation_project1/javascripts/manCompetition.js HTTP/1.1" 200 4415
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:23:01 +0800] "GET /graduation_project1/manCompetitionServlet?_=1493274181690 HTTP/1.1" 200 2263
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:23:01 +0800] "GET /graduation_project1/manCompetitionServlet?pageIndex=0&pageSize=10&_=1493274181741 HTTP/1.1" 200 1499
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:23:04 +0800] "GET /graduation_project1/manCompetition.jsp HTTP/1.1" 200 7248
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:23:04 +0800] "GET /graduation_project1/lib/bootstrap/css/bootstrap-responsive.css HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:23:04 +0800] "GET /graduation_project1/manCompetitionServlet?_=1493274184315 HTTP/1.1" 200 2263
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:23:04 +0800] "GET /graduation_project1/manCompetitionServlet?pageIndex=0&pageSize=10&_=1493274184358 HTTP/1.1" 200 1499
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:25:05 +0800] "GET /graduation_project1/pwd2.jsp HTTP/1.1" 200 4567
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:25:05 +0800] "GET /graduation_project1/lib/bootstrap/css/bootstrap-responsive.css HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:25:05 +0800] "GET /graduation_project1/lib/bootstrap/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:25:07 +0800] "GET /graduation_project1/lib/bootstrap/css/bootstrap-responsive.css HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:25:07 +0800] "GET /graduation_project1/javascripts/bootstrap.js HTTP/1.1" 404 1082
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:25:14 +0800] "GET /graduation_project1/Home?username=zhaoliu&password=111 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:25:14 +0800] "GET /graduation_project1/teacherIndex.jsp HTTP/1.1" 200 4364
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:25:14 +0800] "GET /graduation_project1/lib/jqplot/jquery.jqplot.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:25:14 +0800] "GET /graduation_project1/lib/bootstrap/css/bootstrap-responsive.css HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:25:14 +0800] "GET /graduation_project1/lib/bootstrap/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:25:14 +0800] "GET /graduation_project1/javascripts/graphDemo.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:25:14 +0800] "GET /graduation_project1/lib/font-awesome/font/fontawesome-webfont.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:25:26 +0800] "GET /graduation_project1/pwd2.jsp HTTP/1.1" 200 4425
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:25:26 +0800] "GET /graduation_project1/lib/bootstrap/css/bootstrap-responsive.css HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:28:20 +0800] "GET /graduation_project1/lib/bootstrap/css/bootstrap-responsive.css HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:28:20 +0800] "GET /graduation_project1/javascripts/bootstrap.js HTTP/1.1" 404 1082
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:28:25 +0800] "GET /graduation_project1/Home?username=zhaoliu&password=12345 HTTP/1.1" 200 138
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:28:27 +0800] "GET /graduation_project1/javascripts/bootstrap.js HTTP/1.1" 404 1082
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:28:27 +0800] "GET /graduation_project1/lib/bootstrap/css/bootstrap-responsive.css HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:28:31 +0800] "GET /graduation_project1/Home?username=zhaoliu&password=111 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:28:31 +0800] "GET /graduation_project1/teacherIndex.jsp HTTP/1.1" 200 4365
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:28:31 +0800] "GET /graduation_project1/lib/bootstrap/css/bootstrap-responsive.css HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:28:36 +0800] "GET /graduation_project1/pwd2.jsp HTTP/1.1" 200 4410
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:28:36 +0800] "GET /graduation_project1/lib/bootstrap/css/bootstrap-responsive.css HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:28:38 +0800] "GET /graduation_project1/teacherVolunteerActivity.jsp HTTP/1.1" 200 6397
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:28:38 +0800] "GET /graduation_project1/lib/bootstrap/css/bootstrap-responsive.css HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:28:38 +0800] "GET /graduation_project1/javascripts/volunteerActivity2.js HTTP/1.1" 200 2963
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:28:38 +0800] "GET /graduation_project1/VolunteerActivityServlet?_=1493274518065 HTTP/1.1" 200 3907
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:28:38 +0800] "GET /graduation_project1/VolunteerActivityServlet?pageIndex=0&pageSize=10&_=1493274518118 HTTP/1.1" 200 2077
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:28:40 +0800] "GET /graduation_project1/pwd2.jsp HTTP/1.1" 200 4410
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:28:40 +0800] "GET /graduation_project1/lib/bootstrap/css/bootstrap-responsive.css HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:28:41 +0800] "GET /graduation_project1/teacherCompetition.jsp HTTP/1.1" 200 6288
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:28:41 +0800] "GET /graduation_project1/lib/bootstrap/css/bootstrap-responsive.css HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:28:41 +0800] "GET /graduation_project1/competitionServlet?_=1493274521258 HTTP/1.1" 200 1825
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:28:41 +0800] "GET /graduation_project1/competitionServlet?pageIndex=0&pageSize=10&_=1493274521287 HTTP/1.1" 200 1533
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:28:42 +0800] "GET /graduation_project1/pwd2.jsp HTTP/1.1" 200 4410
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:28:42 +0800] "GET /graduation_project1/lib/bootstrap/css/bootstrap-responsive.css HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:28:44 +0800] "GET /graduation_project1/teacherChair.jsp HTTP/1.1" 200 6316
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:28:44 +0800] "GET /graduation_project1/lib/bootstrap/css/bootstrap-responsive.css HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:28:44 +0800] "GET /graduation_project1/teacherMyChair?_=1493274524071 HTTP/1.1" 200 758
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:28:44 +0800] "GET /graduation_project1/ChairServlet?pageIndex=0&pageSize=10&_=1493274524148 HTTP/1.1" 200 569
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:28:46 +0800] "GET /graduation_project1/pwd2.jsp HTTP/1.1" 200 4410
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:28:46 +0800] "GET /graduation_project1/lib/bootstrap/css/bootstrap-responsive.css HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [27/Apr/2017:14:28:47 +0800] "GET /graduation_project1/teacherTeacherProject.jsp HTTP/1.1" 200 6341
